,bigrams,tdidf_score
290136,donald trump,0.0013820715500705318
460425,hillary clinton,0.0005895539398443694
678434,new york,0.000432985024958103
1122003,white house,0.00040364549727043723
90574,bernie sander,0.00031724436785212544
988278,supreme court,0.00029255524770623915
593087,look like,0.0002842539736041497
448494,health care,0.0002725616738429333
177499,climate change,0.0002446777803891978
671390,need know,0.00022667663999998927
238993,daily meditation,0.0002165976234043802
654156,morning email,0.0002153353092347826
396280,funniest tweet,0.00021231436432675384
477415,huffpost rise,0.00020573957923948578
1003401,taylor swift,0.0002044553929978862
1073050,united state,0.0001888218418987798
964534,stephen colbert,0.00018427180742530355
1006580,ted cruz,0.0001711122041991806
399413,game throne,0.00016943309432621522
685980,north korea,0.00016610094174911765
678405,new year,0.00016533133571535358
387517,fox news,0.00016362614936754112
458368,high school,0.0001625557134691519
957251,star war,0.00016036685294564405
1146766,year ago,0.0001592335606806565
1063892,tweet woman,0.00015869915767332014
1051263,trump administration,0.00015510528952481076
291580,dont know,0.0001468164860784505
985115,super bowl,0.00014163092982372484
936683,social medium,0.00014028413619243503
762805,pope francis,0.00013618947915639297
477367,huffpost hill,0.0001332063503350148
910165,sexual assault,0.00013189632394871223
542418,kim kardashian,0.0001298024811392513
728638,paul ryan,0.00012725754581275977
1138959,world cup,0.0001245901759536027
1132181,woman week,0.000120722344727134
361673,feel like,0.00011960888309222751
776445,president trump,0.00011730172876586509
614153,marco rubio,0.00011721705000585352
654277,morning newsbrief,0.00011611264788403428
859521,rise morning,0.00011558701267926804
522833,jeb bush,0.00011252460359433126
1152268,york city,0.00011240052778695377
313965,elizabeth warren,0.00011151368768147291
292065,dont want,0.00010796637624313249
525194,jimmy fallon,0.00010792416408290313
957912,start day,0.00010755913469634305
534854,kanye west,0.00010570489049332657
1055122,trump say,0.00010521825580826037
1051881,trump campaign,0.00010436450226190674
750750,planned parenthood,0.00010434710198523662
757638,police officer,0.00010425030901275875
515205,islamic state,0.00010417017585580026
776899,presidential candidate,0.00010355178224485952
685923,north carolina,0.00010108437641781175
455072,help start,0.00010100018489121143
273048,didnt know,0.00010091422624656788
525211,jimmy kimmel,0.00010049380986819958
1152680,york time,0.0001004292974663542
918240,short wrapup,0.00010030481131075674
679335,news help,0.00010030481131075674
1143346,wrapup news,0.00010030481131075674
679956,newsbrief short,0.00010030481131075674
1118427,welcome huffpost,9.988944317033648e-05
65010,attorney general,9.964412498814658e-05
1100583,wall street,9.9297967582861e-05
550113,kylie jenner,9.909617031422796e-05
631864,mental health,9.784544642517578e-05
655303,mother day,9.741346806843694e-05
172904,civil right,9.547806274134128e-05
78587,barack obama,9.475899574326938e-05
1046956,trevor noah,9.4198346683107e-05
594970,los angeles,9.404805718834971e-05
414861,golden globe,9.394304553529762e-05
526543,joe biden,9.337243803661253e-05
824448,red carpet,9.282610866140887e-05
910252,sexual harassment,9.195801765678046e-05
168074,chris christie,8.976445243424602e-05
421954,gps guide,8.954299700554682e-05
775893,president obama,8.945304341201918e-05
89197,ben carson,8.939335151756179e-05
418205,gop senator,8.902140039384155e-05
908488,seth meyers,8.885283870006665e-05
780722,prime minister,8.767688269152078e-05
859528,rise need,8.767578335654282e-05
168197,chrissy teigen,8.589980316740563e-05
478458,human right,8.428672851676425e-05
810429,rand paul,8.288918168219343e-05
691079,obama administration,8.175165015688258e-05
1100167,walking dead,8.156704868332056e-05
528634,jon stewart,8.067455017210894e-05
1055581,trump supporter,8.042803458164314e-05
521262,james corden,8.015293666003617e-05
1102046,want know,7.928277439197904e-05
703925,open letter,7.917865306932409e-05
637595,mike penny,7.877389379388108e-05
636633,middle east,7.71450218847202e-05
1148337,year old,7.689799812514916e-05
891880,scott walker,7.683937604977318e-05
