,unigram,tdidf_score
130375,trump,0.004414011466767179
84158,new,0.0030557715032795895
109483,say,0.0024417316044510733
140412,woman,0.002413085534484369
36152,donald,0.0022195605772826602
92352,people,0.0021830290181290243
142168,year,0.002099439210009233
127350,time,0.0020207569992413926
72022,like,0.0019202375590082904
74748,make,0.0018842724608016395
30624,day,0.0018396472664975242
141219,world,0.0016777611391220215
137189,want,0.0016732558848873479
137929,way,0.0016583191154073392
71634,life,0.001587540847614483
68508,know,0.0015759771946068325
126356,thing,0.001542645935392137
83602,need,0.0015382588337732473
97468,president,0.0015204405640392368
108684,said,0.0015155989812479468
119338,state,0.0015151670327292603
36275,dont,0.0013830501714003315
4374,american,0.0013811256013401211
73250,look,0.001294771317289498
106313,right,0.0012917284862961108
23071,clinton,0.0012536907076797727
73633,love,0.001230647803104553
104600,republican,0.001223218471969989
11859,best,0.0012105882010328773
138355,week,0.0011996182921701426
75024,man,0.0011709343692440245
56734,help,0.0011477596854996067
86524,obama,0.0011373052457950361
59359,house,0.0011295578304213543
52238,gop,0.0011285909008285182
126479,think,0.0011207081285866812
137721,watch,0.0011201316799978297
139264,white,0.001110064015790858
102074,really,0.00109092746588521
84211,news,0.0010812860547538983
13085,black,0.001074967008341841
52048,good,0.001070367735949276
20362,change,0.001056443752906934
57570,hillary,0.001041781832071107
67769,kid,0.0010222855190519919
4275,america,0.0010219790291436895
21403,child,0.0009984763978177012
119121,star,0.0009889734232020736
44041,family,0.0009888820854437059
56068,health,0.0009840964140993202
24349,come,0.0009690929670886617
110310,school,0.0009594258879011765
95333,police,0.0009443304477969702
140900,work,0.0008944884285690676
12326,big,0.0008890160046277791
120389,story,0.0008706902992765648
27593,country,0.0008625607316166742
51879,going,0.0008572926057624303
137246,war,0.0008387426409278647
135519,video,0.0008244600240120887
22404,city,0.000813692845428416
50252,gay,0.0008134963805667988
93471,photo,0.0008118989609692124
17634,campaign,0.0008104048053520188
35864,doesnt,0.0008015211384941449
51167,girl,0.0007991444272052251
11966,better,0.0007970022013960058
80325,mom,0.0007957202842346818
121093,student,0.00077927796387789
79046,million,0.0007672969143482302
52386,got,0.0007655589138480466
18523,care,0.0007622100912125899
101976,real,0.0007615342812041436
39034,election,0.0007599795685448552
120205,stop,0.0007502483671233565
31311,death,0.0007459242725964753
27827,court,0.0007374802350772126
72600,little,0.0007363202535205701
91270,party,0.0007210137148674815
43316,face,0.0007155073750694323
40058,end,0.0007092905572114096
102163,reason,0.0007026062420823619
77879,men,0.0006996159888551588
139802,win,0.0006995491680291671
7672,attack,0.00069876830878167
8876,baby,0.0006966117471786191
94430,plan,0.000695718159557642
143048,youre,0.0006928832359663805
49791,game,0.0006915597476574808
71189,let,0.0006898452244810597
125045,tell,0.0006866013278415061
140746,wont,0.0006796637140040381
22995,climate,0.000676918549278639
44971,feel,0.0006727812280378269
58506,home,0.0006699628498938423
47349,food,0.0006692955438402675
123958,talk,0.0006688175732165543
104317,report,0.0006677587528803185
33917,didnt,0.0006674081709291745
32636,democrat,0.0006631713517405813
